#TYPE Selected.System.Management.Automation.PSCustomObject
"H1","reviewerName","overall","reviewText","reviewTime","day_diff","helpful_yes","helpful_no","total_vote","score_pos_neg_diff","score_average_rating","wilson_lower_bound"
"0","","4.0","No issues.","2014-07-23","138","0","0","0","0","0.0","0.0"
"1","0mie","5.0","Purchased this for my device, it worked as advertised. You can never have too much phone memory, since I download a lot of stuff this was a no brainer for me.","2013-10-25","409","0","0","0","0","0.0","0.0"
"2","1K3","4.0","it works as expected. I should have sprung for the higher capacity.  I think its made a bit cheesier than the earlier versions; the paint looks not as clean as before","2012-12-23","715","0","0","0","0","0.0","0.0"
"3","1m2","5.0","This think has worked out great.Had a diff. bran 64gb card and if went south after 3 months.This one has held up pretty well since I had my S3, now on my Note3.*** update 3/21/14I've had this for a few months and have had ZERO issue's since it was transferred from my S3 to my Note3 and into a note2. This card is reliable and solid!Cheers!","2013-11-21","382","0","0","0","0","0.0","0.0"
"4","2&amp;1/2Men","5.0","Bought it with Retail Packaging, arrived legit, in a orange envelope, english version not asian like the picture shows. arrived quickly, bought a 32 and 16 both retail packaging for my htc one sv and Lg Optimus, both cards in working order, probably best price you'll get for a nice sd card","2013-07-13","513","0","0","0","0","0.0","0.0"
"5","2Cents!","5.0","It's mini storage.  It doesn't do anything else and it's not supposed to.  I purchased it to add additional storage to my Microsoft Surface Pro tablet which only come in 64 and 128 GB.  It does what it's supposed to and SanDisk has a long standing reputation that speaks for itself.","2013-04-29","588","0","0","0","0","0.0","0.0"
"6","2K1Toaster","5.0","I have it in my phone and it never skips a beat. File transfers are speedy and have not had any corruption issues or memory fade issues as I would expect from the Sandisk brand. Great card to own. Why entrust your precious files to a slightly cheaper piece of crap? If you lose everything can you forgive yourself for not spending the extra couple bucks on a trusted product that goes through good QA?","2013-10-19","415","0","0","0","0","0.0","0.0"
"7","35-year Technology Consumer ""8-tracks to 802.11""","5.0","It's hard to believe how affordable digital has become. 32 GB in a device one quarter the sie of postage stamp would have been science fiction less than a generation ago.I picked this up for portable music when I didn't want to schlep (or risk) a phone or iPod. Works great with all SD card readers.Select with confidence.","2014-10-07","62","0","0","0","0","0.0","0.0"
"8","4evryoung","5.0","Works in a HTC Rezound.  Was running short of space on a 64GB Sandisk so I ordered this when it came out, fast and no issues.","2014-03-24","259","1","0","1","1","1.0","0.20654931437723742"
"9","53rdcard","5.0","in my galaxy s4, super fast card, and am totally happy, not happy having to still type to fill the required words though","2013-11-10","393","0","0","0","0","0.0","0.0"
